name,description
Sicraweb EVO,Piattaforma gestionale integrata per enti locali
Protocollo J-Iride,Sistema di protocollo informatico e gestione documentale
Albo Pretorio,Gestione pubblicazioni legali obbligatorie
Atti Amministrativi,Workflow delibere e determine
Contratti e Appalti,Gestione contratti pubblici e procedure di gara
Fatturazione Elettronica,Emissione e ricezione fatture PA
Conservazione Digitale,Sistema di conservazione a norma
Anagrafe,Gestione anagrafe e stato civile
Tributi,Gestione tributi comunali (IMU/TARI/TASI)
Servizi Cimiteriali,Gestione servizi cimiteriali e concessioni
